character,unicode,usage_count
앓,U+C553,1
암,U+C554,1
압,U+C555,5
앗,U+C557,32
았,U+C558,127
앙,U+C559,64
앞,U+C55E,39
애,U+C560,33
야,U+C57C,1695
약,U+C57D,44
얇,U+C587,1
얌,U+C58C,2
얏,U+C58F,1
양,U+C591,68
얘,U+C598,40
어,U+C5B4,2097
억,U+C5B5,15
언,U+C5B8,89
얹,U+C5B9,1
얻,U+C5BB,2
얼,U+C5BC,119
엄,U+C5C4,88
업,U+C5C5,703
없,U+C5C6,422
엇,U+C5C7,13
었,U+C5C8,378
엉,U+C5C9,13
엌,U+C5CC,1
에,U+C5D0,1198
엑,U+C5D1,2
엔,U+C5D4,40
엠,U+C5E0,2
엣,U+C5E3,1
여,U+C5EC,340
역,U+C5ED,140
연,U+C5F0,49
열,U+C5F4,43
염,U+C5FC,2
엽,U+C5FD,3
엿,U+C5FF,1
였,U+C600,78
영,U+C601,36
옆,U+C606,6
예,U+C608,57
옛,U+C61B,26
오,U+C624,248
옥,U+C625,2
온,U+C628,84
올,U+C62C,90
옮,U+C62E,7
옷,U+C637,16
와,U+C640,249
완,U+C644,38
왓,U+C653,3
왔,U+C654,64
왕,U+C655,43
왜,U+C65C,116
왠,U+C660,73
외,U+C678,33
요,U+C694,200
욕,U+C695,7
욘,U+C698,8
용,U+C6A9,50
우,U+C6B0,268
운,U+C6B4,97
울,U+C6B8,247
움,U+C6C0,46
웃,U+C6C3,25
워,U+C6CC,132
원,U+C6D0,61
월,U+C6D4,6
웠,U+C6E0,30
웨,U+C6E8,1
웩,U+C6E9,6
위,U+C704,109
윈,U+C708,1
윌,U+C70C,2
유,U+C720,152
육,U+C721,8
으,U+C73C,412
윽,U+C73D,8
은,U+C740,888
을,U+C744,1100
음,U+C74C,268
응,U+C751,87
의,U+C758,768
이,U+C774,3403
익,U+C775,1
인,U+C778,448
일,U+C77C,402
읽,U+C77D,57
잃,U+C783,14
임,U+C784,7
입,U+C785,31
잇,U+C787,2
있,U+C788,1140
잊,U+C78A,11
자,U+C790,586
작,U+C791,48
잔,U+C794,34
잖,U+C796,273
잘,U+C798,123
잠,U+C7A0,66
잡,U+C7A1,40
잣,U+C7A3,6
장,U+C7A5,1510
재,U+C7AC,55
잭,U+C7AD,1
쟁,U+C7C1,3
저,U+C800,1804
적,U+C801,121
전,U+C804,245
